treatment	medium	dose_uM	plateID	timeID	cell_line	locationID	control	variable	value
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C04_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.796474792
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C04_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.555290019
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C05_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.738944413
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C05_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.109857917
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C06_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.50229602
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C06_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.701243573
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C07_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.877999229
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C07_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.947844926
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C08_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.706002734
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	C08_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.884108646
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C09_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.566410633
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C09_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	10.64042256
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C10_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.024858327
Medium	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C10_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.805072074
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C11_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.674235092
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C11_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	6.262047366
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C12_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.31584448
DMSO	Comp_medium_NS	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C12_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	7.16150473
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C13_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	5.540471797
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C13_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.569035082
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C14_1	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.541055802
17B-estradiol	Comp_medium_NS	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	C14_2	1	Nuclei_Intensity_IntegratedIntensity_Image_GFP	8.807935641
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D03_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.768984984
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D03_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.675328769
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D04_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.397408087
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D04_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.0035852
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D05_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.432079525
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D05_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.911033696
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D06_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.362439376
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D06_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.833889228
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D07_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.885483176
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D07_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.229825161
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D08_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.646180698
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-PGR-GFP	D08_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.147662983
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D09_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.174250702
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D09_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	3.463436079
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D10_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.873999214
Medium	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D10_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.880630201
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D11_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.991465566
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D11_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	1.590110919
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D12_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.151365467
DMSO	Comp_medium_S	0	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D12_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.09749669
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D13_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	2.522661595
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D13_2	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.444650164
17B-estradiol	Comp_medium_S	1	20200221_Exp007_MT_t0	0	MCF7-TFF1-GFP	D14_1	2	Nuclei_Intensity_IntegratedIntensity_Image_GFP	4.196617858
