"treatment"	"plateID"	"dose_uM"	"timeID"	"locationID"	"cell_line"	"variable"	"value"
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.09200127387476
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.0033579600081
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.943869067822275
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.933384538567339
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.916164262773236
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.98475197021339
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.94249292301925
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.855294397763738
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.85466313060167
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.876730603735582
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.84443748976383
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.851158795885497
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.836703869080136
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.813083763705365
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B03_1"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.931012631049738
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.1143815814279
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.17600547654092
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.18386204507988
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.02572901860438
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.00125688001859
"DMSO"	"20200220_Exp006_MT_t24"	0	"6"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.88671982558226
"DMSO"	"20200220_Exp006_MT_t24"	0	"7"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.7959944241398
"DMSO"	"20200220_Exp006_MT_t24"	0	"8"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.65231898277937
"DMSO"	"20200220_Exp006_MT_t24"	0	"9"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.56045290760831
"DMSO"	"20200220_Exp006_MT_t24"	0	"10"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.40532247420449
"DMSO"	"20200220_Exp006_MT_t24"	0	"11"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.41280299122095
"DMSO"	"20200220_Exp006_MT_t24"	0	"12"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.26223328430281
"DMSO"	"20200220_Exp006_MT_t24"	0	"13"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.30993629906037
"DMSO"	"20200220_Exp006_MT_t24"	0	"14"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.2989787544366
"DMSO"	"20200220_Exp006_MT_t24"	0	"15"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.26532102025819
"DMSO"	"20200220_Exp006_MT_t24"	0	"16"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.29118389000636
"DMSO"	"20200220_Exp006_MT_t24"	0	"17"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.21687969626219
"DMSO"	"20200220_Exp006_MT_t24"	0	"18"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.27378350724165
"DMSO"	"20200220_Exp006_MT_t24"	0	"19"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.21604286150935
"DMSO"	"20200220_Exp006_MT_t24"	0	"20"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.21718963878909
"DMSO"	"20200220_Exp006_MT_t24"	0	"21"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.2664440915553
"DMSO"	"20200220_Exp006_MT_t24"	0	"22"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.38303435328107
"DMSO"	"20200220_Exp006_MT_t24"	0	"23"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.32665881254057
"DMSO"	"20200220_Exp006_MT_t24"	0	"24"	"B03_2"	"GREB1-GFP_siESR1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.23059335087437
"DMSO"	"20200220_Exp006_MT_t24"	0	"1"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.42638069254819
"DMSO"	"20200220_Exp006_MT_t24"	0	"2"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.61857089048035
"DMSO"	"20200220_Exp006_MT_t24"	0	"3"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.60623268237514
"DMSO"	"20200220_Exp006_MT_t24"	0	"4"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.55540743926075
"DMSO"	"20200220_Exp006_MT_t24"	0	"5"	"B04_1"	"GREB1-GFP_siGREB1"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.42238954046254
