"treatment"	"plateID"	"dose_uM"	"timeID"	"cell_line"	"locationID"	"variable"	"value"
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"18"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.852675836741208
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"19"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.10710779531403
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"20"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.15539966315678
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"21"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.2721084533349
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"22"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.896777381911098
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"23"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.25252330638183
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"24"	"GREB1-GFP_mock"	"B02_3"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.22923897702976
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"1"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	2.26659460560049
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"2"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.58445886667686
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"3"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.681032187098831
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"4"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.925105563097644
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"5"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.66408290138143
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"6"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.561064870246917
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"7"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.83550319797206
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"8"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.699326829211482
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"9"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.953514149393338
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"10"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	0.838022770088476
"DMSO"	"20200625_Exp267_Nikon2_24hrsliveKD"	0	"11"	"GREB1-GFP_mock"	"B02_4"	"Nuclei_Intensity_IntegratedIntensity_Image_GFP"	1.10756012996963
